Date,Open,High,Low,Close,Adj Close,Volume
2020-04-24,9560.000000,9679.690430,9552.349609,9625.650391,9625.650391,69740700
2020-04-27,9610.400391,9784.589844,9610.400391,9758.820313,9758.820313,77380000
2020-04-28,9787.389648,9948.839844,9780.950195,9889.459961,9889.459961,117984300
2020-04-29,9847.410156,9895.009766,9799.080078,9865.320313,9865.320313,106556400
2020-04-30,9850.870117,9877.299805,9629.400391,9629.400391,9629.400391,113042100
2020-05-04,9618.929688,9619.379883,9389.660156,9390.269531,9390.269531,104022600
2020-05-05,9444.580078,9512.169922,9416.139648,9512.169922,9512.169922,79360900
2020-05-06,9506.280273,9597.330078,9480.099609,9571.700195,9571.700195,68767700
2020-05-07,9609.129883,9635.959961,9555.610352,9617.980469,9617.980469,65780900
2020-05-08,9666.660156,9688.629883,9628.759766,9665.349609,9665.349609,0
2020-05-11,9679.530273,9726.240234,9590.740234,9689.709961,9689.709961,55080300
2020-05-12,9693.059570,9760.540039,9674.070313,9733.530273,9733.530273,54570300
2020-05-13,9679.879883,9694.360352,9621.490234,9631.620117,9631.620117,78830600
2020-05-14,9581.599609,9592.500000,9393.469727,9448.139648,9448.139648,94220400
2020-05-15,9526.440430,9576.570313,9474.139648,9483.099609,9483.099609,71676100
2020-05-18,9536.719727,9740.769531,9533.799805,9740.769531,9740.769531,74284300
2020-05-19,9741.209961,9785.179688,9703.610352,9764.230469,9764.230469,80459200
2020-05-20,9731.900391,9790.849609,9716.750000,9790.849609,9790.849609,60843600
2020-05-22,9713.750000,9729.290039,9604.370117,9688.990234,9688.990234,72600200
2020-05-25,9743.129883,9832.349609,9711.750000,9824.540039,9824.540039,42222900
2020-05-26,9879.059570,9884.330078,9790.250000,9830.830078,9830.830078,81597300
2020-05-27,9853.900391,9856.910156,9673.150391,9716.519531,9716.519531,115382400
2020-05-28,9776.929688,9966.049805,9769.450195,9926.030273,9926.030273,101197200
2020-05-29,9918.500000,9944.530273,9823.730469,9831.490234,9831.490234,135187200
2020-06-02,9874.839844,9979.179688,9872.959961,9951.450195,9951.450195,93010000
2020-06-03,9962.219727,10183.849609,9954.089844,10183.769531,10183.769531,112950100
2020-06-04,10152.589844,10203.910156,10024.019531,10075.679688,10075.679688,97600400
2020-06-05,10082.559570,10190.370117,10061.830078,10190.370117,10190.370117,100087300
2020-06-08,10114.019531,10188.299805,10082.049805,10152.769531,10152.769531,85224500
2020-06-09,10153.389648,10206.639648,10112.429688,10184.820313,10184.820313,98868000
2020-06-10,10190.070313,10218.259766,10122.379883,10147.179688,10147.179688,83175100
2020-06-11,10108.179688,10116.709961,9828.580078,9828.580078,9828.580078,101233600
2020-06-12,9800.009766,9913.900391,9723.889648,9796.370117,9796.370117,74554900
2020-06-15,9762.950195,9874.610352,9633.200195,9842.559570,9842.559570,0
2020-06-16,9873.450195,10098.500000,9869.250000,10034.290039,10034.290039,0
2020-06-17,10084.099609,10218.049805,10074.950195,10202.190430,10202.190430,0
2020-06-18,10191.879883,10218.589844,10131.679688,10186.500000,10186.500000,0
